test_case,model,version,timestamp,processing_time,reasoning_overall,reasoning_demographics,reasoning_psychological_characteristics,reasoning_behavioral_characteristics,reasoning_geographic_behavior,reasoning_skills_and_knowledge,reasoning_investigative_implications,reasoning_key_identifiers,reasoning_framework_narrative_action_system,reasoning_framework_sexual_behavioral_analysis,reasoning_framework_spatial_behavioral_analysis,reasoning_framework_sexual_homicide_pathways_analysis,reasoning_frameworks_total,avg_framework_confidence,framework_confidence_narrative_action_system,framework_confidence_sexual_behavioral_analysis,framework_confidence_spatial_behavioral_analysis,framework_confidence_sexual_homicide_pathways_analysis,framework_completeness_narrative_action_system,framework_completeness_sexual_behavioral_analysis,framework_completeness_spatial_behavioral_analysis,framework_completeness_sexual_homicide_pathways_analysis,framework_accuracy_narrative_action_system,framework_accuracy_spatial_behavioral_analysis,framework_accuracy_sexual_behavioral_analysis,framework_accuracy_sexual_homicide_pathways_analysis
ed-kemper,DeepSeek-R1,latest,2025-03-14T20:07:17.595101,60.5028076171875,4,3,3,3,3,3,3,3,2,2,2,2,8,0.825,0.85,0.75,0.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash,latest,2025-03-14T20:07:36.011396,18.41429567337036,5,6,5,6,3,5,5,5,1,1,1,1,4,0.8,0.7,0.8,0.9,0.8,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:07:54.503824,36.90772366523743,5,6,6,6,3,5,5,5,1,1,1,1,4,0.725,0.8,0.7,0.6,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,DeepSeek-R1,latest,2025-03-14T20:08:35.495103,102.47279405593872,4,4,4,4,4,4,4,4,2,2,2,2,8,0.775,0.85,0.75,0.7,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
btk-otero,Gemini-2.0-Flash,latest,2025-03-14T20:08:52.427908,16.92281436920166,4,4,5,5,3,5,5,4,2,1,1,1,5,0.625,0.6,0.5,0.8,0.6,1.0,1.0,0.8,1.0,1.0,0.0,0.0,0.0
btk-otero,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:09:06.277276,30.78217387199402,5,6,6,6,3,5,5,5,1,1,1,1,4,0.675,0.7,0.8,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ed-kemper,Gemma-3,latest,2025-03-15T00:22:49.193319,73.18048667907715,0,3,3,3,3,3,3,3,1,1,1,1,4,0.7875,0.75,0.65,0.9,0.85,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0
ted-bundy-lake,Gemma-3,latest,2025-03-15T00:23:10.864341,94.84982204437256,3,3,3,3,2,3,3,2,1,1,1,1,4,0.7875,0.75,0.8,0.9,0.7,1.0,0.8,0.8,1.0,1.0,1.0,0.0,1.0
btk-otero,Gemma-3,latest,2025-03-15T00:23:14.464033,98.45113801956177,4,4,4,3,2,3,3,3,1,1,1,1,4,0.7625,0.65,0.75,0.85,0.8,1.0,1.0,0.8,1.0,0.0,1.0,0.0,1.0
unabomber,Gemma-3,latest,2025-03-15T00:23:28.379938,112.36610651016235,4,3,3,3,2,3,3,3,1,1,1,1,4,0.7375,0.85,0.7,0.65,0.75,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Gemma-3,latest,2025-03-15T00:23:40.313892,124.30106019973755,4,4,4,4,2,3,5,5,1,1,1,1,4,0.7625,0.65,0.75,0.8,0.85,1.0,0.8,1.0,0.8,0.0,0.0,0.0,1.0
mad-bomber,Gemma-3,latest,2025-03-15T00:23:44.638223,128.6253912448883,4,5,5,6,3,5,5,5,1,1,1,1,4,0.775,0.85,0.75,0.7,0.8,0.8,0.8,0.8,1.0,1.0,0.0,0.0,0.0
ted-bundy-lake,o3-mini,latest,2025-03-14T20:12:05.566575,50.10748481750488,4,3,2,2,2,2,2,2,1,1,1,1,4,0.8125,0.85,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
mad-bomber,o3-mini,latest,2025-03-14T20:12:08.250426,52.79133605957031,4,3,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4.5-Preview,latest,2025-03-14T20:14:43.532779,208.07368898391724,1,4,3,3,2,2,2,2,1,0,1,0,2,0.925,0.95,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o,latest,2025-03-14T20:15:26.140438,42.60765886306763,3,4,3,3,2,2,2,2,2,0,1,0,3,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mad-bomber,o3-mini-high,latest,2025-03-14T20:16:14.512760,90.97998118400574,4,3,3,3,3,3,3,3,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o-mini,latest,2025-03-14T20:17:43.340112,88.81172609329224,4,5,4,4,3,3,3,4,2,2,2,0,6,0.8333333333333334,0.85,0.75,0.9,0.0,0.8,0.8,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet,latest,2025-03-14T20:18:49.074258,65.73414659500122,8,6,6,6,3,5,5,5,4,0,5,0,9,0.8,0.85,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,GPT-4.5-Preview,latest,2025-03-14T20:19:03.880421,468.4193308353424,1,3,3,3,3,3,3,2,1,1,1,1,4,0.8375,0.8,0.85,0.9,0.8,0.8,0.8,0.8,0.8,0.0,1.0,0.0,1.0
mad-bomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:19:47.470012,124.12890028953552,6,5,5,5,4,5,5,5,4,0,4,0,8,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,GPT-4o,latest,2025-03-14T20:20:06.519572,62.63814878463745,2,2,2,2,1,2,2,2,1,1,1,1,4,0.8,0.85,0.75,0.9,0.7,1.0,0.8,1.0,0.8,1.0,1.0,0.0,1.0
ted-bundy-lake,o3-mini-high,latest,2025-03-14T20:21:06.600049,122.71962714195251,4,2,2,2,1,1,1,1,1,1,1,1,4,0.8625,0.9,0.8,0.9,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ted-bundy-lake,GPT-4o-mini,latest,2025-03-14T20:22:45.333365,98.73131608963013,3,3,3,3,3,3,3,3,3,3,3,3,12,0.8875,0.9,0.85,0.9,0.9,0.8,0.8,0.8,0.8,1.0,0.0,0.0,1.0
ted-bundy-lake,Claude-3.7-Sonnet,latest,2025-03-14T20:23:50.618502,65.28313612937927,7,6,6,6,5,6,5,5,4,4,5,5,18,0.8,0.8,0.85,0.7,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ted-bundy-lake,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:25:03.667319,138.33145022392273,8,6,6,6,5,6,5,6,4,5,5,5,19,0.85,0.8,0.85,0.9,0.85,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
mad-bomber,Llama-3.3-70B-Instruct,latest,2025-03-14T20:25:21.341759,333.87074756622314,1,3,2,2,1,2,2,2,1,0,1,0,2,0.75,0.8,0.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,Llama-3.3-70B-Instruct,latest,2025-03-14T20:27:23.087681,139.4193618297577,1,1,1,1,1,1,1,1,1,1,1,1,4,0.8,0.8,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mad-bomber,DeepSeek-R1,latest,2025-03-14T20:32:42.984962,441.64220428466797,4,3,3,3,3,3,3,3,2,0,2,0,4,0.8999999999999999,0.95,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash,latest,2025-03-14T20:32:58.884992,15.898029565811157,5,4,5,5,3,3,4,4,1,0,2,0,3,0.75,0.9,0.0,0.6,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:33:20.289904,37.30294060707092,7,6,6,6,3,4,5,5,1,0,1,0,2,0.8,0.9,0.0,0.7,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,DeepSeek-R1,latest,2025-03-14T20:34:40.012535,436.9228537082672,3,3,2,2,2,2,2,2,1,1,1,1,4,0.7875,0.9,0.8,0.7,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ted-bundy-lake,Gemini-2.0-Flash,latest,2025-03-14T20:34:56.353464,16.339931964874268,4,4,3,3,2,2,3,2,1,2,1,2,6,0.625,0.5,0.6,0.8,0.6,1.0,1.0,0.8,1.0,1.0,1.0,0.0,0.0
ted-bundy-lake,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:35:21.216262,41.20172739028931,6,6,6,6,3,5,5,5,1,1,1,1,4,0.75,0.7,0.8,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unabomber,o3-mini,latest,2025-03-14T20:36:00.820441,39.59987187385559,4,3,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini,latest,2025-03-14T20:36:10.008637,48.78819823265076,4,2,2,2,2,2,2,2,1,1,1,1,4,0.8250000000000001,0.8,0.8,0.9,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
unabomber,GPT-4.5-Preview,latest,2025-03-14T20:38:52.098710,210.87826585769653,1,3,3,2,1,1,1,1,1,0,1,0,2,0.95,0.95,0.0,0.95,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4.5-Preview,latest,2025-03-14T20:38:54.471465,213.25102615356445,1,2,2,1,1,1,1,1,1,1,1,1,4,0.8875,0.8,0.95,0.85,0.95,1.0,0.8,1.0,0.8,0.0,0.0,0.0,1.0
unabomber,o3-mini-high,latest,2025-03-14T20:39:49.565794,57.465086460113525,4,2,2,2,2,2,2,2,1,0,1,0,2,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,o3-mini-high,latest,2025-03-14T20:40:08.948331,74.474862575531,4,2,2,2,2,2,2,2,1,1,1,1,4,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8,1.0,0.0,0.0,1.0
unabomber,GPT-4o,latest,2025-03-14T20:41:33.335160,161.23545050621033,2,2,2,2,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,GPT-4o-mini,latest,2025-03-14T20:42:06.364260,33.02810025215149,2,3,2,2,2,2,2,2,2,2,2,0,6,0.85,0.9,0.85,0.8,0.0,0.8,0.8,0.8,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o,latest,2025-03-14T20:42:54.453566,239.98110175132751,1,3,2,2,1,1,1,1,1,1,1,1,4,0.8375,0.8,0.85,0.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
unabomber,Claude-3.7-Sonnet,latest,2025-03-14T20:43:04.627534,58.2612726688385,7,6,6,6,3,4,5,5,4,0,4,0,8,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:43:40.494282,94.12802362442017,6,5,5,5,4,5,5,5,5,0,5,0,10,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Llama-3.3-70B-Instruct,latest,2025-03-14T20:44:28.801153,48.306870460510254,3,3,3,3,3,3,3,2,3,0,3,0,6,0.8500000000000001,0.8,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,DeepSeek-R1,latest,2025-03-14T20:45:50.066261,81.26411008834839,5,4,4,4,3,3,3,3,3,0,3,0,6,0.8,0.85,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash,latest,2025-03-14T20:46:04.335547,14.269285678863525,5,4,3,3,3,3,3,3,2,0,2,0,4,0.875,0.85,0.0,0.9,0.0,1.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0
unabomber,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:46:17.137308,27.071046829223633,3,4,4,4,3,4,5,5,2,0,2,0,4,0.875,0.85,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,GPT-4o-mini,latest,2025-03-14T20:47:53.673512,299.2199459075928,3,3,3,3,2,2,2,2,2,2,1,1,6,0.825,0.75,0.9,0.8,0.85,0.8,0.8,0.8,0.8,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet,latest,2025-03-14T20:49:11.826694,78.15218234062195,9,7,7,7,5,6,6,6,5,5,0,5,15,0.85,0.8,0.9,0.85,0.85,1.0,1.0,0.6,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T20:49:25.790257,92.11574459075928,8,6,6,6,4,5,5,5,4,5,5,5,19,0.8125,0.8,0.85,0.75,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Llama-3.3-70B-Instruct,latest,2025-03-14T20:51:49.161826,143.36966729164124,2,3,2,2,2,2,2,2,1,1,1,1,4,0.75,0.7,0.8,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,DeepSeek-R1,latest,2025-03-14T20:52:32.398994,43.23614716529846,4,3,3,3,3,3,3,3,2,2,2,2,8,0.675,0.65,0.7,0.6,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash,latest,2025-03-14T20:52:48.243331,15.843334436416626,4,3,3,4,2,3,3,3,1,1,1,1,4,0.725,0.6,0.8,0.7,0.8,1.0,0.8,1.0,0.8,1.0,0.0,0.0,1.0
robert-napper-rachel-nickell,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T20:52:55.397517,22.994868278503418,4,4,6,6,3,5,5,5,1,1,1,1,4,0.725,0.6,0.8,0.7,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
ed-kemper,o3-mini,latest,2025-03-14T20:53:41.716341,46.31682109832764,4,3,2,2,2,2,2,2,1,1,1,1,4,0.8375,0.9,0.8,0.8,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,o3-mini,latest,2025-03-14T20:53:45.801548,50.401928663253784,4,2,2,2,2,2,2,2,1,1,1,1,4,0.75,0.8,0.7,0.8,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
btk-otero,GPT-4.5-Preview,latest,2025-03-14T20:56:56.535677,241.13614344596863,1,3,2,1,1,1,1,1,1,1,1,1,4,0.875,0.85,0.9,0.85,0.9,1.0,0.8,0.8,0.8,0.0,0.0,1.0,1.0
ed-kemper,GPT-4.5-Preview,latest,2025-03-14T20:57:01.275013,245.87549543380737,1,3,2,2,2,2,2,2,1,1,1,1,4,0.85,0.75,0.9,0.8,0.95,1.0,0.8,1.0,0.8,1.0,0.0,0.0,0.0
btk-otero,GPT-4o,latest,2025-03-14T20:57:59.558923,63.020676374435425,3,4,4,3,2,2,2,2,1,1,1,1,4,0.825,0.85,0.8,0.75,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ed-kemper,GPT-4o,latest,2025-03-14T20:58:11.938581,70.66118597984314,3,3,3,3,3,3,3,3,1,1,1,1,4,0.9,0.9,0.85,0.9,0.95,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
ed-kemper,o3-mini-high,latest,2025-03-14T20:58:16.199780,74.92476725578308,4,2,2,2,2,2,2,2,1,1,1,1,4,0.8125,0.85,0.75,0.85,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,o3-mini-high,latest,2025-03-14T20:58:25.449871,88.9141936302185,4,2,2,2,2,2,2,2,1,1,1,1,4,0.7875,0.85,0.75,0.8,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ed-kemper,GPT-4o-mini,latest,2025-03-14T20:58:44.270281,28.068501949310303,3,3,3,2,2,2,2,2,1,1,1,1,4,0.85,0.85,0.75,0.9,0.9,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
btk-otero,GPT-4o-mini,latest,2025-03-14T20:58:55.116151,29.666280508041382,3,3,3,3,2,2,2,2,2,2,1,1,6,0.8625,0.85,0.8,0.9,0.9,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0
ed-kemper,Claude-3.7-Sonnet,latest,2025-03-14T20:59:50.513255,66.24197363853455,7,6,6,6,4,5,5,5,4,4,4,4,16,0.8625,0.85,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,Claude-3.7-Sonnet,latest,2025-03-14T21:00:16.775486,81.65833592414856,8,6,6,6,3,5,5,5,1,1,1,1,4,0.6875,0.75,0.7,0.65,0.65,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
btk-otero,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T21:00:23.483416,88.36475658416748,6,5,5,5,3,5,4,5,4,4,3,4,15,0.775,0.85,0.75,0.8,0.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ed-kemper,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T21:00:49.425252,125.1534538269043,8,6,6,6,3,5,5,5,1,4,4,4,13,0.875,0.85,0.9,0.85,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ed-kemper,Llama-3.3-70B-Instruct,latest,2025-03-14T21:05:13.627716,264.200421333313,2,2,2,2,2,2,2,2,1,1,1,1,4,0.8,0.8,0.7,0.8,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,Llama-3.3-70B-Instruct,latest,2025-03-14T21:06:06.233308,342.7478868961334,2,2,2,2,2,2,2,2,1,1,1,1,4,0.7,0.8,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1.0,0.0,0.0,1.0
ed-kemper,DeepSeek-R1,latest,2025-03-14T21:06:12.574206,58.94545316696167,4,4,3,3,3,3,3,3,2,2,2,2,8,0.875,0.85,0.9,0.8,0.95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash,latest,2025-03-14T21:06:32.425360,19.850116729736328,5,6,6,6,3,5,5,5,1,1,1,1,4,0.8,0.7,0.8,0.9,0.8,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0
ed-kemper,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T21:06:51.198031,38.62178373336792,3,6,6,6,3,5,5,5,1,1,1,1,4,0.775,0.7,0.8,0.7,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
btk-otero,DeepSeek-R1,latest,2025-03-14T21:07:41.136029,94.90272045135498,4,3,3,3,3,3,3,3,2,2,2,2,8,0.775,0.85,0.7,0.75,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
btk-otero,Gemini-2.0-Flash,latest,2025-03-14T21:07:56.033364,14.895332336425781,5,2,3,3,2,2,2,2,2,2,2,1,7,0.75,0.7,0.8,0.8,0.7,1.0,0.8,0.8,0.8,0.0,0.0,1.0,1.0
btk-otero,Gemini-2.0-Flash-Thinking-Exp0121,latest,2025-03-14T21:08:13.097704,31.960012435913086,5,6,6,6,3,5,5,5,1,1,1,1,4,0.6499999999999999,0.6,0.7,0.7,0.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
